Time,gas_type,Gas concentration (ppb)
"Jan 1, 2020, 12 AM",PMXY,0.0002851676205561186
"Jan 1, 2020, 12 AM",OXY,0.0007412735891800063
"Jan 1, 2020, 12 AM",TOL,0.0010195573462018122
"Jan 1, 2020, 12 AM",ETHB,0.0012492788373492658
"Jan 1, 2020, 1 AM",TOL,0.0008048294112086296
"Jan 1, 2020, 1 AM",ETHB,0.0023037665135537586
"Jan 1, 2020, 1 AM",PMXY,0.00032977383610462613
"Jan 1, 2020, 1 AM",OXY,0.0005111876234877855
"Jan 1, 2020, 2 AM",BENZ,0.0038700944278389215
"Jan 1, 2020, 2 AM",ETHB,0.0016040477664015877
"Jan 1, 2020, 2 AM",PMXY,0.0002808271256071748
"Jan 1, 2020, 2 AM",OXY,0.0010878306517649132
"Jan 1, 2020, 2 AM",TOL,0.0011814985288462292
"Jan 1, 2020, 3 AM",ETHB,0.0018193711972950648
"Jan 1, 2020, 3 AM",PMXY,0.00022605424874200253
"Jan 1, 2020, 3 AM",OXY,0.0008206645895067292
"Jan 1, 2020, 3 AM",TOL,0.0012000101172210027
"Jan 1, 2020, 4 AM",ETHB,0.0010963889556781699
"Jan 1, 2020, 4 AM",PMXY,0.0006012204782261202
"Jan 1, 2020, 4 AM",OXY,0.0013473332898380856
"Jan 1, 2020, 4 AM",TOL,0.0017980803410561446
"Jan 1, 2020, 4 AM",BENZ,0.005029559135437012
"Jan 1, 2020, 5 AM",ETHB,0.00160350336227566
"Jan 1, 2020, 5 AM",PMXY,0.0003152154640702065
"Jan 1, 2020, 5 AM",OXY,0.0015863576457680513
"Jan 1, 2020, 5 AM",TOL,0.0013201984353751566
"Jan 1, 2020, 5 AM",BENZ,0.007272048387676477
"Jan 1, 2020, 6 AM",BENZ,0.004266201984137297
"Jan 1, 2020, 6 AM",TOL,0.0010690711884914588
"Jan 1, 2020, 6 AM",OXY,0.0008544965918796757
"Jan 1, 2020, 6 AM",PMXY,0.0005159561963713107
"Jan 1, 2020, 6 AM",ETHB,0.0023808997260251394
"Jan 1, 2020, 7 AM",TOL,0.0012898086376177769
"Jan 1, 2020, 7 AM",OXY,0.0010903407746809535
"Jan 1, 2020, 7 AM",PMXY,0.0002847862124326639
"Jan 1, 2020, 7 AM",ETHB,0.00111979329570507
"Jan 1, 2020, 8 AM",PMXY,0.00018239542744898549
"Jan 1, 2020, 8 AM",TOL,0.0016443210382324953
"Jan 1, 2020, 8 AM",OXY,0.0011307559385992743
"Jan 1, 2020, 8 AM",ETHB,0.00116634217556566
"Jan 1, 2020, 9 AM",PMXY,0.00029922065732534975
"Jan 1, 2020, 9 AM",TOL,0.0015005054980671655
