datetime-dronetest,T-VOC concentration (ppb)
"Jan 1, 2020, 12 AM",70.56374925456196
"Jan 1, 2020, 1 AM",72.17377032652696
"Jan 1, 2020, 2 AM",71.92908466033563
"Jan 1, 2020, 3 AM",73.04817981011188
"Jan 1, 2020, 4 AM",75.83115885697903
"Jan 1, 2020, 5 AM",72.55774983959292
"Jan 1, 2020, 6 AM",86.78246713224834
"Jan 1, 2020, 7 AM",113.39983826881536
"Jan 1, 2020, 8 AM",92.96496854067175
"Jan 1, 2020, 9 AM",38.79110259438123
"Jan 1, 2020, 10 AM",54.63473933036247
"Jan 1, 2020, 11 AM",66.41214677700512
"Jan 1, 2020, 12 PM",85.87012969188198
"Jan 1, 2020, 1 PM",95.43344786947856
"Jan 1, 2020, 2 PM",100.53717224946942
"Jan 1, 2020, 3 PM",110.53800401292763
"Jan 1, 2020, 4 PM",113.9681638350899
"Jan 1, 2020, 5 PM",124.09783394080931
"Jan 1, 2020, 6 PM",140.45000470599294
"Jan 1, 2020, 7 PM",154.62107271499264
"Jan 1, 2020, 8 PM",159.17248534953947
"Jan 1, 2020, 9 PM",162.82082310612
"Jan 1, 2020, 10 PM",168.08362595266578
"Jan 1, 2020, 11 PM",175.93633374542233
"Jan 2, 2020, 12 AM",180.56577908520978
"Jan 2, 2020, 1 AM",183.61422095053712
"Jan 2, 2020, 2 AM",185.424808341474
"Jan 2, 2020, 3 AM",187.5357633525245
"Jan 2, 2020, 4 AM",187.8695184052965
"Jan 2, 2020, 5 AM",187.79162618285025
"Jan 2, 2020, 6 AM",192.42725477761616
"Jan 2, 2020, 7 AM",189.418601657838
"Jan 2, 2020, 8 AM",192.20234529416715
"Jan 2, 2020, 9 AM",190.5676656506012
"Jan 2, 2020, 10 AM",197.50193632035538
"Jan 2, 2020, 11 AM",206.47821935792877
"Jan 2, 2020, 12 PM",210.75692449461405
"Jan 2, 2020, 1 PM",229.38756028084737
"Jan 2, 2020, 2 PM",232.2791187803835
"Jan 2, 2020, 3 PM",207.5135232552468
"Jan 2, 2020, 4 PM",202.85082775800385
"Jan 2, 2020, 5 PM",202.82340288829903
"Jan 2, 2020, 6 PM",197.2440471345595
"Jan 2, 2020, 7 PM",203.16042020120221
"Jan 2, 2020, 8 PM",178.78582757608416
"Jan 2, 2020, 9 PM",175.17335500231647
"Jan 2, 2020, 10 PM",180.76469566363102
"Jan 2, 2020, 11 PM",177.41615988599807
"Jan 3, 2020, 12 AM",172.43567131698862
"Jan 3, 2020, 1 AM",174.1280290500679
"Jan 3, 2020, 2 AM",171.23752975386068
"Jan 3, 2020, 3 AM",169.76050863227607
"Jan 3, 2020, 4 AM",174.46217148127707
"Jan 3, 2020, 5 AM",174.12239689008763
"Jan 3, 2020, 6 AM",175.31106142053008
"Jan 3, 2020, 7 AM",180.30938554426615
"Jan 3, 2020, 8 AM",190.072117274304
"Jan 3, 2020, 9 AM",184.22401993108244
"Jan 3, 2020, 10 AM",121.57870237562243
"Jan 3, 2020, 11 AM",98.13890391367103
"Jan 3, 2020, 12 PM",86.29442207097208
"Jan 3, 2020, 1 PM",81.02263341886568
"Jan 3, 2020, 2 PM",60.53825289311854
"Jan 3, 2020, 3 PM",73.93095431028783
"Jan 3, 2020, 4 PM",94.84206559713549
"Jan 3, 2020, 5 PM",113.05146668475646
"Jan 3, 2020, 6 PM",117.15975411017438
"Jan 3, 2020, 7 PM",116.19110579464332
"Jan 3, 2020, 8 PM",118.15811386113607
"Jan 3, 2020, 9 PM",111.24490371325983
"Jan 3, 2020, 10 PM",88.78646168530717
"Jan 3, 2020, 11 PM",75.62928462490544
"Jan 4, 2020, 12 AM",71.7793918693801
"Jan 4, 2020, 1 AM",71.57949892778721
"Jan 4, 2020, 2 AM",68.44397599390172
"Jan 4, 2020, 3 AM",68.89769567412223
"Jan 4, 2020, 4 AM",74.62250239923623
"Jan 4, 2020, 5 AM",79.68124464148174
"Jan 4, 2020, 6 AM",86.16731913299192
"Jan 4, 2020, 7 AM",92.40655003645007
"Jan 4, 2020, 8 AM",82.96926040915142
"Jan 4, 2020, 9 AM",65.40719898271885
"Jan 4, 2020, 10 AM",48.31805491551557
"Jan 4, 2020, 11 AM",27.067090117976495
"Jan 4, 2020, 12 PM",12.688824169006367
"Jan 4, 2020, 1 PM",8.971843134694927
"Jan 4, 2020, 2 PM",10.137691084032374
"Jan 4, 2020, 3 PM",8.225804478841654
"Jan 4, 2020, 4 PM",12.055059463348405
"Jan 4, 2020, 5 PM",23.068345388186067
"Jan 4, 2020, 6 PM",53.40488325790408
"Jan 4, 2020, 7 PM",80.85660532592776
"Jan 4, 2020, 8 PM",96.5835809039381
"Jan 4, 2020, 9 PM",67.66723211296578
"Jan 4, 2020, 10 PM",79.32975457149224
"Jan 4, 2020, 11 PM",89.01283558014292
"Jan 5, 2020, 12 AM",97.15005259186913
"Jan 5, 2020, 1 AM",102.91076066557488
"Jan 5, 2020, 2 AM",103.0809958454374
"Jan 5, 2020, 3 AM",103.92978194317337
"Jan 5, 2020, 4 AM",105.62992499419049
"Jan 5, 2020, 5 AM",111.88088888881568
"Jan 5, 2020, 6 AM",116.42359751930796
"Jan 5, 2020, 7 AM",121.7097984055645
"Jan 5, 2020, 8 AM",122.93067157873462
"Jan 5, 2020, 9 AM",127.0804879945299
"Jan 5, 2020, 10 AM",116.95092784116422
"Jan 5, 2020, 11 AM",72.60163397011732
"Jan 5, 2020, 12 PM",42.839047250533575
"Jan 5, 2020, 1 PM",38.0662828376733
"Jan 5, 2020, 2 PM",42.53149251589522
"Jan 5, 2020, 3 PM",44.16252017057097
"Jan 5, 2020, 4 PM",45.78587021163942
"Jan 5, 2020, 5 PM",48.7392065666642
"Jan 5, 2020, 6 PM",63.109861736573045
"Jan 5, 2020, 7 PM",72.44438029273057
"Jan 5, 2020, 8 PM",79.37185850809243
"Jan 5, 2020, 9 PM",87.78691105276668
"Jan 5, 2020, 10 PM",94.4255748682497
"Jan 5, 2020, 11 PM",101.69059207392996
"Jan 6, 2020, 12 AM",108.02527173887674
"Jan 6, 2020, 1 AM",114.13320387316075
"Jan 6, 2020, 2 AM",119.66844755978245
"Jan 6, 2020, 3 AM",127.709867902966
"Jan 6, 2020, 4 AM",132.53053180677466
"Jan 6, 2020, 5 AM",138.24170833774204
"Jan 6, 2020, 6 AM",147.65812681742977
"Jan 6, 2020, 7 AM",165.0153912153998
"Jan 6, 2020, 8 AM",161.20844590559807
"Jan 6, 2020, 9 AM",155.81123335365925
"Jan 6, 2020, 10 AM",148.15072226541656
"Jan 6, 2020, 11 AM",124.7912044083721
"Jan 6, 2020, 12 PM",99.69386895617603
"Jan 6, 2020, 1 PM",90.76966159667596
"Jan 6, 2020, 2 PM",84.20038027271883
"Jan 6, 2020, 3 PM",84.66794386988941
"Jan 6, 2020, 4 PM",90.53790493537717
"Jan 6, 2020, 5 PM",87.17664690339252
"Jan 6, 2020, 6 PM",94.25881999336431
"Jan 6, 2020, 7 PM",102.37116370650129
"Jan 6, 2020, 8 PM",112.06626855712145
"Jan 6, 2020, 9 PM",125.41764826237379
"Jan 6, 2020, 10 PM",139.4024178321801
"Jan 6, 2020, 11 PM",137.28355075201262
"Jan 7, 2020, 12 AM",124.48071227794284
"Jan 7, 2020, 1 AM",64.4395508914631
"Jan 7, 2020, 2 AM",43.811814735818295
"Jan 7, 2020, 3 AM",42.0239046290291
"Jan 7, 2020, 4 AM",41.458162133599295
"Jan 7, 2020, 5 AM",49.932924162028286
"Jan 7, 2020, 6 AM",61.43421473248737
"Jan 7, 2020, 7 AM",66.9387515221908
"Jan 7, 2020, 8 AM",63.227512485167
"Jan 7, 2020, 9 AM",47.16127190205277
"Jan 7, 2020, 10 AM",20.64501823836165
"Jan 7, 2020, 11 AM",13.093652561221251
"Jan 7, 2020, 12 PM",10.187390383813938
"Jan 7, 2020, 1 PM",11.171900074801592
"Jan 7, 2020, 2 PM",11.094005441801514
"Jan 7, 2020, 3 PM",13.229934421219257
"Jan 7, 2020, 4 PM",26.632281669110558
"Jan 7, 2020, 5 PM",17.874463985606884
"Jan 7, 2020, 6 PM",39.76351972907396
"Jan 7, 2020, 7 PM",53.67176355413595
"Jan 7, 2020, 8 PM",78.9352591067242
"Jan 7, 2020, 9 PM",95.37444118993965
"Jan 7, 2020, 10 PM",106.78782960445598
"Jan 7, 2020, 11 PM",111.5534193897723
"Jan 8, 2020, 12 AM",115.67085823541609
"Jan 8, 2020, 1 AM",126.4695075039875
"Jan 8, 2020, 2 AM",131.20939447650977
"Jan 8, 2020, 3 AM",130.38941073174155
"Jan 8, 2020, 4 AM",131.00317308292745
"Jan 8, 2020, 5 AM",138.28025097504664
"Jan 8, 2020, 6 AM",143.81301867817493
"Jan 8, 2020, 7 AM",155.53776659081007
"Jan 8, 2020, 8 AM",243.44510687810003
"Jan 8, 2020, 9 AM",151.72068844927915
"Jan 8, 2020, 10 AM",94.01427037765872
"Jan 8, 2020, 11 AM",90.97372099569921
"Jan 8, 2020, 12 PM",90.39865086263892
"Jan 8, 2020, 1 PM",86.23095293016762
"Jan 8, 2020, 2 PM",95.45258628580152
"Jan 8, 2020, 3 PM",106.23845602347772
"Jan 8, 2020, 4 PM",113.68705376902881
"Jan 8, 2020, 5 PM",124.4419549480681
"Jan 8, 2020, 6 PM",132.3557317088393
"Jan 8, 2020, 7 PM",141.2415437686418
"Jan 8, 2020, 8 PM",161.87194720198104
"Jan 8, 2020, 9 PM",171.8507163724909
"Jan 8, 2020, 10 PM",175.75018596583664
"Jan 8, 2020, 11 PM",181.22436303667772
"Jan 9, 2020, 12 AM",184.83712980716606
"Jan 9, 2020, 1 AM",183.19146888611579
"Jan 9, 2020, 2 AM",182.91098167603295
"Jan 9, 2020, 3 AM",181.33627299326088
"Jan 9, 2020, 4 AM",186.97830535676167
"Jan 9, 2020, 5 AM",188.35369761879952
"Jan 9, 2020, 6 AM",192.4572348342672
"Jan 9, 2020, 7 AM",192.57938723361866
"Jan 9, 2020, 8 AM",192.61594930721012
"Jan 9, 2020, 9 AM",198.8833395702605
"Jan 9, 2020, 10 AM",189.82280213968784
"Jan 9, 2020, 11 AM",180.6787402278957
